happiness,State
33.75,Texas
16.82,Missouri
65.47,New York
61.43,Florida
38.58,Kentucky
73.71,Maryland
85.22,Wisconsin
69.41,Florida
67.4,North Carolina
12.35,Kentucky
28.64,District of Columbia
56.19,Pennsylvania
95.82,New York
61.12,New York
20.78,Alaska
40.33,Pennsylvania
14.77,District of Columbia
36.81,Washington
33.25,Georgia
96.3,New York
10.3,Georgia
16.67,Florida
3.27,Virginia
63.02,West Virginia
2.82,Virginia
18.15,Alabama
82.15,Minnesota
23.99,Georgia
19.33,Kentucky
81.44,California
50.84,Florida
58.71,Pennsylvania
36.29,Arizona
30.75,Pennsylvania
2.34,Florida
74.03,Tennessee
23.85,Louisiana
97.8,California
67.21,Arizona
14.38,Georgia
3.58,Massachusetts
95.28,California
71.58,Pennsylvania
5.27,Virginia
44.73,California
83.05,Texas
82.47,Georgia
2.63,Mississippi
74.15,South Dakota
83.38,Alaska
42.18,Michigan
83.67,Maryland
97.56,California
50.47,Louisiana
3.11,Connecticut
50.38,New Mexico
98.71,Pennsylvania
81.33,California
57.6,Massachusetts
11.63,Illinois
56.64,Florida
12.0,Washington
83.06,Georgia
66.95,Kansas
74.84,Missouri
94.51,Texas
35.31,District of Columbia
21.26,Texas
4.72,Florida
49.68,Texas
84.81,California
4.15,Texas
41.76,Florida
88.84,Louisiana
90.37,Maryland
61.31,Florida
83.1,Georgia
88.85,Arkansas
92.0,Texas
22.87,Florida
77.23,North Carolina
44.88,Ohio
98.54,District of Columbia
77.05,Michigan
73.87,Florida
43.36,District of Columbia
21.81,California
46.19,Nebraska
74.65,Massachusetts
53.95,Florida
48.25,Florida
77.22,Virginia
100.0,Vermont
33.81,Louisiana
65.37,Texas
88.85,Oregon
93.35,Louisiana
89.73,District of Columbia
15.37,Maryland
21.51,Alabama
70.12,Iowa
82.21,Illinois
18.19,Florida
71.13,Texas
4.98,Florida
39.28,Texas
61.86,Missouri
56.5,Florida
70.33,Virginia
25.55,California
15.38,New York
